Movie_ID,Rating,Review
tt5611024,5.0,"I felt like the beginning started out decently and there were some good twists in first couple of episodes but then there were plot holes big enough to drive a truck through by the end...
One massive plot hole is the nanny cam frame... How did the Burkett's even know it existed to ""deep fake"" it?? Maya's friend gave her the frame, so they would have had no knowledge of it's true purpose unless the nanny happened to take out the SD card and check it (which they never showed her doing, nor do I remember her explaining that she did)
Just doesn't make sense...
And the daughter was 4 but would she not have remembered the Nanny's husband showing up and talking to her in her dad's clothes??Shane's character's behavior also makes zero sense. It's hinted at that he's secretly in love with her at the beginning, but then he gets all stalkerish in the middle (mainly it seems only to further the points of implying it might be Joe stalking her. A point they lean into when the little girl runs over to the bushes and says ""Daddy"" which is never explained... as well as Shane conveniently showing up in the garage which he otherwise would have had no knowledge of)
Then he just turns into a convenient delivery guy to drop off the nanny and husband or whatever he was off. He then disappears until the last scene where he pops up 18 years later as the devoted (and apparently ageless friend)
And then there's all the subplots that go nowhere..Maya's friend who gives her the frame and is supposedly her good friend is missing from the final scene and her subplot about her ex husband just disappears..And the half-sibling plot seems no purpose other than to make Claire seem more secretive and give her kids something to do... and why introduce the half siblings father and not actually show them meeting?And the whole younger detective relationship they build ends so abruptly with zero resolution as well...And that's just a fraction of the issues...."
tt5611024,5.0,"Apart from the fact that the lead actor Michelle Keegan in this series seems to have only one gear and one expression throughout the entire 8 episodes, despite some very high stakes, I found the story itself thrilling albeit farfetched. But SO SO odd that a lead actor can get away with not giving more than this, as if what we're seeing is a walk through rehearsal from her rather than the final product. A really bland performance. Do the two (male) directors imagine that the actor's attractiveness is enough?!! That viewers wont wonder why she seems so strangely disconnected?Adeel Akhtar on the other hand is an absolute joy to watch as always."
tt5611024,6.0,"Seems to be a trend making limited series that don't need 8-10 episodes! First episode gets you hooked but you see the signs of the long drawn-out development being framed.Being fooled in the past from other shows, I now look for reviews that recommend the episodes to skip, that don't provide critical information. The reason for the 6 is the unnecessary episodes.If you watch episode 1, and skip to last two 7,8... the rating goes up to a 8 for me. No critical information is missing and I like the ending, they tied up most of the plot lines.Overall a great show, a little overly dramatized for a UK show which tends to be ground compared to US TV."
tt5611024,5.0,"I am always pulled in to anything that stars, Richard Armitage. I have enjoyed the previous Harlan Corben adaptations to the British format. I personally don't see a problem with that, especially as the screenplay had been adapted by Danny Brocklehurst. He's a talented writer. I've lived in Manchester and quite enjoyed the familiarity of the place.My biggest problem with this series was Michelle Keegan... I don't know where to begin. Her face is so distracting and detracts from the role she's trying to play, and I use the word ""trying"" loosely! She should really stick to soap operas as she offered no gravitas to the role she was supposed to be playing. The rest of the cast were fair enough ... even though we didn't see too much of Richard Armitage! Joanna Lumley was cool .. I thought she did well.Adeel Akhtar stole the show ... he is exceptional in everything he is in, and I was drawn in by his character and life circumstances. Him being on the Burkett meds was a reasonable twist.. and I honestly didn't see that coming! His side kick was good and they had good chemistry.The ending was stupid ...totally unnecessary!It could have been told in 4 episodes , but like most Netflix series they like to stretch it out!!"
tt5611024,5.0,"I'm probably about three-quarters through, and I'll stick it out just because I want to see how it wraps up. I wonder if Harlan Coben is ever consulted on the scripts for his adaptations. I would be embarrassed if I were him. If you can get past the bad writing in this adaptation and just go with the plot, you'll be okay. You can't blame the actors, who do a decent job. The issues I have with this production are too many to list.Did the writers deliberately try to make Maya seem uneducated, or did third graders write this: ""Me and Lily will be fine."" ""Me and Judith don't get along."" Good grief.So many things don't ring true with the characters' behaviors, it's ridiculous. What's with the male friend who is always hanging around Maya and her daughter, and why does she just accept that (I wouldn't). How does he get into her house, like he lives there? Why does she go off sleuthing on her own, not sharing clues with the detective, who seems sympathetic? Oh yes, and we have the obligatory gay cop. Gotta get that in there.I always watch Harlan Coben's adaptations and I do like most of them, but this one is just pretty dumb."
tt5611024,5.0,"Well I think the title says it all. A series that tries to make a hero out of the most unlikable character of any production I have ever watched.The protagonist is a suspected war criminal, who uses violence constantly, holds innocent people at gunpoint to make them answer her questions, hides evidence from the cops, etc.. And the series insists on portraying her as a hero, which is infuriating.The entire series is littered with inconsistencies. For instance, in the first episode Maya thinks her husband might be alive and suddenly in the second episode she's trying to convince her sister-in-law that he's dead!!! A whistle blower who released some damning videos about Maya is sitting on evidence that he will not share with the cops. Instead, he shares them willingly with Maya; the person he blew the whistle on! Why would he do that?At one point in the series, Maya's child is screaming and she's clearly in distress. Instead of running to her child, Maya wakes up, runs to the gun cabinet, calmly puts on her gloves, picks up a gun, and just stands there for a few seconds giving a determined look to the camera and then slowly goes to help her child. What kind of a mother does that? If you want people to watch the show and like it, you have to give them a reason to root for the protagonist, not several reasons to despise her.All in all, do not watch. I wasted my time, don't waste yours."
tt12964320,5.0,Role Play is a pretty bad comedy action film about a wife who is an assassin and hiding the secret from her husband and family. Until her past catches up to her and she has to step in and fight for her familys safety.The plot is forgettable with its tedious script. The plot is similiar to The Family Plan except at least the humor and fun in that film is worth watching. This film lacks the humor and when it tries for laughs it is just pure awkward. The action sequences are boring. The cast ensemble is forgettable. It is nice to see Katey going for the action role. But the script and direction gives them nothing to work with.It is a boring action film that has a eh story. Boring action and tedious performances.
tt12964320,5.0,"Role Play tells the story of a married couple who decide to have a night out that reveals to a secret revealed that will shake them to their core.Overall this movie isn't strong in any aspect. I feel like the casting of David Oyelowo as the husband was not a good choice. He has almost no chemistry with Kaley Cuoco and I don't buy that these two are married. These two are the heart of the film and I just think it's hard to get invested in them.Characters in general are very inconsistent, weakly written so that they can do what the script needs them to do. Timid/rational in one scene, brave/irrational the next. The ""ruthless criminals"" feel like were lifted from a rated PG TV movie.I do think some of the film is fun and the set up is intriguing, if ultimately bland. I love Bill Nighy so he was a welcome surprise and makes the best scene in the movie. I was fairly engaged throughout the movie and it went by fairly quickly.Overall this is a straight to streaming quality movie that doesn't do its premise as well as others like Mr. And Mrs. Smith. It is a skip."
tt12964320,5.0,"There are a number of low ratings and negative reviews for this movie and to me they missed the whole point of this movie. It is mostly a comedy, not to be taken so seriously. My wife and I were entertained.Kaley Cuoco, who also produced, is the star as Emma Brackett. She is married with two children. She goes out of town on ""business"" trips but it not the traditional business. Nor is it the career her husband thinks she has. As the trailer for the movie clearly points out, she is an assassin.She is married to David Oyelowo as Dave Brackett. He is a standard, honest man. One night when he and Emma decide to do something different, they go to a hotel to pretend to be strangers, meet at a bar, and end up in a hotel room together. However that ""date"" doesn't go as planned. It sets the tone for the rest of the movie.Bill Nighy is good in everything he is in. Here he is Bob Kellerman who also shows up at the bar. He starts flirting with Emma. In the conversation he drops word hints. It soon becomes obvious to her that he knows who she is and he is in the same profession.Things develop from there, Emma's husband finds out what she really does, he is mortified. He can't believe it. In the end it becomes a fight for survival.We watched it at home, streaming on Amazon Prime. Viewed as a dark comedy we found it suitably entertaining."
tt12964320,5.0,"This is basically a gender swap of Mark Wahlburg's ""Family Plan"", but without the same level of humor or action. The lead actors are fine, the action sequences are well done but waaaay too short. The story is predictable, the humorous bits garner a chuckle at best. It's great to see Kaley branch out, but this doesn't come close to her performance in ""Flight Attendant"" on Apple TV. I think she deserves a bigger audience, and I'll continue waiting for her to find that true breakout role so she'll no longer just be Penny from The Big Bang Theory. As others have said, it makes for some fine background noise, but ultimately is pretty forgettable."
